time_stamp,load_gross_real_power_kW
2023-08-27 22:04:56.728262-07:00,10.2
2023-08-27 23:05:02.446851-07:00,13.3
2023-08-28 00:00:59.278546-07:00,8.0
2023-08-28 01:01:06.308496-07:00,9.0
2023-08-28 02:01:10.646990-07:00,7.0
2023-08-28 03:01:16.086777-07:00,7.0
2023-08-28 04:01:20.640594-07:00,7.0
2023-08-28 05:01:27.756709-07:00,7.0
2023-08-28 06:01:34.977678-07:00,9.6
2023-08-28 07:01:40.466443-07:00,19.876
2023-08-28 08:01:44.571219-07:00,20.785
2023-08-28 09:02:01.894900-07:00,22.542
2023-08-28 10:02:13.162943-07:00,23.745
2023-08-28 11:02:22.788913-07:00,26.207
2023-08-28 12:02:31.439619-07:00,36.369
2023-08-28 13:02:35.121469-07:00,28.411
2023-08-28 14:02:41.894966-07:00,36.59
2023-08-28 15:02:46.315614-07:00,31.106
2023-08-28 16:02:51.373757-07:00,28.099
2023-08-28 17:02:54.396945-07:00,20.725
2023-08-28 18:02:57.190923-07:00,16.475
2023-08-28 19:03:00.476517-07:00,10.128
2023-08-28 20:02:48.889821-07:00,10.0
2023-08-28 21:02:54.059678-07:00,8.0
2023-08-28 22:03:00.093105-07:00,9.299999999999995
2023-08-28 23:03:04.742857-07:00,8.599999999999998
2023-08-29 00:00:59.128744-07:00,8.599999999999998
2023-08-29 01:01:03.491515-07:00,10.0
2023-08-29 02:01:06.449646-07:00,8.2
2023-08-29 03:01:09.630754-07:00,9.2
2023-08-29 04:01:13.003155-07:00,7.3
2023-08-29 05:01:15.986473-07:00,7.0
2023-08-29 06:01:18.979295-07:00,7.0
2023-08-29 07:01:22.455281-07:00,12.0
2023-08-29 08:01:25.954594-07:00,12.173
2023-08-29 09:01:33.017397-07:00,16.036
2023-08-29 10:01:39.274250-07:00,19.681
2023-08-29 11:02:07.009909-07:00,12.509
2023-08-29 12:02:10.207671-07:00,14.786
2023-08-29 13:02:13.342322-07:00,14.73
2023-08-29 14:02:16.380882-07:00,13.735
2023-08-29 15:02:38.039988-07:00,17.494
2023-08-29 16:02:41.594180-07:00,13.039
2023-08-29 17:07:10.003045-07:00,10.154
2023-08-29 18:08:27.770814-07:00,9.0
2023-08-29 19:08:33.180295-07:00,9.0
2023-08-29 20:08:36.519050-07:00,19.0
2023-08-29 21:08:39.649531-07:00,7.0
2023-08-29 22:08:29.270226-07:00,10.3
2023-08-29 23:08:33.739309-07:00,9.3
2023-08-30 00:00:57.365604-07:00,7.199999999999999
2023-08-30 01:01:04.114723-07:00,7.199999999999999
2023-08-30 02:01:09.760141-07:00,7.3
2023-08-30 03:01:15.532585-07:00,7.0
2023-08-30 04:01:20.992980-07:00,8.0
2023-08-30 05:01:26.776931-07:00,7.1
2023-08-30 06:01:35.298914-07:00,7.0
2023-08-30 07:01:39.889292-07:00,10.0
2023-08-30 08:01:48.918650-07:00,14.0
2023-08-30 09:01:55.071207-07:00,15.043
2023-08-30 10:02:00.382229-07:00,13.533
2023-08-30 11:02:06.327092-07:00,14.782
2023-08-30 12:02:10.608739-07:00,17.118
2023-08-30 13:02:15.908027-07:00,13.643
2023-08-30 14:02:21.332088-07:00,13.433
2023-08-30 15:02:24.412594-07:00,21.327
2023-08-30 16:02:29.595291-07:00,17.016
2023-08-30 17:02:34.724404-07:00,10.207
2023-08-30 18:02:43.544615-07:00,9.188
2023-08-30 19:02:49.263992-07:00,9.113
2023-08-30 20:02:54.562012-07:00,9.0
2023-08-30 21:03:01.296746-07:00,7.0
2023-08-30 22:03:07.513750-07:00,7.0
2023-08-30 23:03:15.953549-07:00,8.0
2023-08-31 00:00:58.158289-07:00,7.1
2023-08-31 01:01:01.246658-07:00,8.0
2023-08-31 02:01:04.586506-07:00,7.0
2023-08-31 03:01:07.225078-07:00,7.0
2023-08-31 04:01:10.175890-07:00,7.0
2023-08-31 05:01:13.154288-07:00,7.0
2023-08-31 06:01:16.039580-07:00,7.0
2023-08-31 07:01:21.700451-07:00,9.192
2023-08-31 08:01:27.683401-07:00,13.951
2023-08-31 09:01:38.460375-07:00,13.207
2023-08-31 10:01:41.215052-07:00,14.047
2023-08-31 11:13:44.178352-07:00,13.627
2023-08-31 12:14:11.722665-07:00,23.802
2023-08-31 13:14:14.813754-07:00,13.102
2023-08-31 14:14:17.964634-07:00,13.388
2023-08-31 15:14:22.892713-07:00,16.253
2023-08-31 16:14:28.890910-07:00,11.865
2023-08-31 17:14:36.314626-07:00,14.083
2023-08-31 18:14:42.721714-07:00,10.778
2023-08-31 19:14:50.874849-07:00,8.172
2023-08-31 20:14:54.876449-07:00,9.0
2023-08-31 21:15:01.492793-07:00,7.0
2023-08-31 22:15:07.816426-07:00,7.0
2023-08-31 23:15:13.222666-07:00,7.0
2023-09-01 00:00:58.271377-07:00,7.1
2023-09-01 01:01:01.678180-07:00,7.0
2023-09-01 02:01:04.419936-07:00,7.0
2023-09-01 03:01:07.170989-07:00,7.0
2023-09-01 04:01:11.578640-07:00,7.0
2023-09-01 05:01:17.688274-07:00,7.0
2023-09-01 06:01:23.757814-07:00,7.0
2023-09-01 07:01:29.649061-07:00,8.116
2023-09-01 08:01:33.922328-07:00,9.351
2023-09-01 09:01:36.832548-07:00,12.216
2023-09-01 10:01:39.355472-07:00,16.52
2023-09-01 11:01:42.402773-07:00,12.166
2023-09-01 12:01:45.548625-07:00,23.18
2023-09-01 13:01:48.695702-07:00,22.496
2023-09-01 14:01:51.956216-07:00,27.882
2023-09-01 15:01:54.713744-07:00,21.07
2023-09-01 16:02:03.931552-07:00,30.488
2023-09-01 17:02:09.160788-07:00,28.341
2023-09-01 18:02:13.474369-07:00,17.303
2023-09-01 19:02:18.168800-07:00,11.248
2023-09-01 20:02:25.037969-07:00,9.0
2023-09-01 21:02:30.463479-07:00,9.0
2023-09-01 22:02:34.680585-07:00,13.0
2023-09-01 23:02:42.793671-07:00,8.0
2023-09-02 00:00:57.193194-07:00,8.0
2023-09-02 01:01:06.629596-07:00,8.9
2023-09-02 02:01:12.064544-07:00,13.0
2023-09-02 03:01:17.937911-07:00,8.0
2023-09-02 04:01:23.959997-07:00,8.0
2023-09-02 05:01:30.555753-07:00,9.0
2023-09-02 06:01:37.379555-07:00,8.0
2023-09-02 07:01:43.307309-07:00,12.992
2023-09-02 08:01:49.378416-07:00,10.489
2023-09-02 09:01:55.536951-07:00,10.14
2023-09-02 10:02:04.232731-07:00,11.653
2023-09-02 11:02:09.646811-07:00,15.026
2023-09-02 12:02:13.601191-07:00,14.304
2023-09-02 13:02:18.776354-07:00,22.927
2023-09-02 14:02:22.647265-07:00,24.682
2023-09-02 15:02:26.840111-07:00,16.570999999999998
